station,connections
S+U Rathaus Spandau (Berlin),104
S+U Zoologischer Garten Bhf (Berlin),93
U Kurfürstendamm (Berlin),77
S Adlershof (Berlin),76
S Schöneweide Bhf (Berlin),76
S Potsdam Hauptbahnhof,69
S Ostkreuz Bhf (Berlin),67
S Treptower Park (Berlin),63
S Baumschulenweg (Berlin),62
"Bernau, August-Bebel-Str.",61
S Bernau Bhf,58
S Plänterwald (Berlin),57
"Potsdam, Platz der Einheit/West",54
S+U Friedrichstr. Bhf (Berlin),54
Zehlendorf Eiche (Berlin),53
S+U Berlin Hauptbahnhof,52
"Berlin, Brunsbütteler Damm/Ruhlebener Str.",50
"Potsdam, Alter Markt/Landtag",46
S+U Pankow (Berlin),45
S+U Jannowitzbrücke (Berlin),44
S+U Wittenau (Berlin),44
U Alt-Tegel (Berlin),43
U Leopoldplatz (Berlin),43
"Ludwigsfelde, Hochhaus",42
S+U Potsdamer Platz Bhf (Berlin),42
S Zehlendorf (Berlin),42
U Wittenbergplatz (Berlin),42
"Erkner, Kirche",42
S+U Gesundbrunnen Bhf (Berlin),41
Wilhelmsruher Damm/Treuenbrietzener Str. (Berlin),41
U Rotes Rathaus (Berlin),41
S Wannsee Bhf (Berlin),41
S Erkner Bhf/ZOB,41
S Ostbahnhof (Berlin),40
S Südkreuz Bhf (Berlin),39
S+U Hermannstr. (Berlin),39
S Lichtenrade (Berlin),39
"Ludwigsfelde, Salvador-Allende-Str.",39
Lankwitz Kirche (Berlin),39
S+U Alexanderplatz Bhf/Memhardstr. (Berlin),39
S+U Schönhauser Allee (Berlin),39
S Lankwitz (Berlin),38
U Nollendorfplatz (Berlin),38
S Buch (Berlin),38
S Schönefeld (bei Berlin),38
Friedrich-Hollaender-Platz (Berlin),38
Olivaer Platz (Berlin),38
U Bülowstr. (Berlin),37
S Westkreuz (Berlin),37
U Alt-Mariendorf (Berlin),37
S+U Warschauer Str. (Berlin),37
Schloßplatz Köpenick (Berlin),37
S Bornholmer Str. (Berlin),37
S Grünau (Berlin),37
U Rudow (Berlin),37
S+U Neukölln (Berlin),36
An der Urania (Berlin),36
"Berlin, Moritzstr.",36
S+U Wuhletal (Berlin),36
Spandauer Str./Marienkirche (Berlin),36
S+U Frankfurter Allee (Berlin),36
S Halensee (Berlin),36
S+U Innsbrucker Platz (Berlin),36
Buddestr. (Berlin),35
U Fehrbelliner Platz (Berlin),34
"Berlin, An der Mühle",34
U Adenauerplatz (Berlin),34
S Heerstr. (Berlin),34
"Teltow, Warthestr.",33
"Dallgow-Döberitz, Bahnhof",33
"Stahnsdorf, Waldschänke",32
S Lichterfelde Ost Bhf (Berlin),32
U Alt-Tempelhof (Berlin),32
S Johannisthal (Berlin),32
S Köpenick (Berlin),32
U Mehringdamm (Berlin),32
S+U Rathaus Steglitz (Berlin) [Schloßstr.],32
"Berlin, Ziegelhof",32
U Paracelsus-Bad (Berlin),32
S Prenzlauer Allee (Berlin),32
"Waltersdorf (bei Berlin), Bohnsdorfer Weg",32
Flughafen BER,31
"Potsdam, Park Sanssouci Bhf",31
S+U Lichtenberg Bhf (Berlin),31
"Potsdam, Thaerstr.",31
U Unter den Linden (Berlin),31
"Potsdam, Amundsenstr./Nedlitzer Str.",31
"Potsdam, Rathaus Babelsberg",31
Hertzallee (Berlin),31
U Turmstr. (Berlin),31
Wannseebrücke (Berlin),30
Alt-Buch/Wiltbergstr. (Berlin),30
S Marzahn (Berlin),30
S+U Jungfernheide Bhf (Berlin),30
"Kleinmachnow, Am Hochwald",30
"Potsdam, Johannes-Kepler-Platz",30
S+U Brandenburger Tor (Berlin),30
"Ludwigsfelde, Zentrum",30
S Greifswalder Str. (Berlin),30
U Hallesches Tor (Berlin),30
U Elsterwerdaer Platz (Berlin),30
Nahmitzer Damm/Marienfelder Allee (Berlin),30
U Kurt-Schumacher-Platz (Berlin),30
S Hennigsdorf Bhf,29
Elsenstr./S Treptower Park (Berlin),29
"Ludwigsfelde, Neckarstr.",29
S+U Heidelberger Platz (Berlin),29
"Werneuchen, Ambulatorium",29
S+U Alexanderplatz Bhf (Berlin),29
U Rathaus Reinickendorf (Berlin),28
"Stahnsdorf, Stahnsdorfer Hof",28
"Bernau, Bahnhofs-Passage",28
Paulsternstr./Gartenfelder Str. (Berlin),28
S Landsberger Allee (Berlin),28
U Schlesisches Tor (Berlin),28
U Kleistpark (Berlin),28
"Potsdam, Charlottenhof Bhf",28
Europa-Center (Berlin),28
Steglitzer Damm/Bismarckstr. (Berlin),28
Bahnhofstr./Seelenbinderstr. (Berlin),28
"Potsdam, Stern-Center/Nuthestr.",28
"Hennigsdorf, Rathenaustr.",28
