route_short_name,route_type_name,rail_type,segment_id,avg_travel_time,trip_count,from_stop,to_stop,avg_time_readable,mode
100,Bus,Non-Rail,Bayreuther Str. (Berlin) → Breitscheidplatz (Berlin),0 days 00:01:51.633466135,502,Bayreuther Str. (Berlin),Breitscheidplatz (Berlin),1 Min 51 Sec,Bus
100,Bus,Non-Rail,Bayreuther Str. (Berlin) → Schillstr. (Berlin),0 days 00:01:37.813121272,503,Bayreuther Str. (Berlin),Schillstr. (Berlin),1 Min 37 Sec,Bus
100,Bus,Non-Rail,Breitscheidplatz (Berlin) → Bayreuther Str. (Berlin),0 days 00:01:40.675944333,503,Breitscheidplatz (Berlin),Bayreuther Str. (Berlin),1 Min 40 Sec,Bus
100,Bus,Non-Rail,Breitscheidplatz (Berlin) → S+U Zoologischer Garten Bhf (Berlin),0 days 00:02:00,251,Breitscheidplatz (Berlin),S+U Zoologischer Garten Bhf (Berlin),2 Min 0 Sec,Bus
100,Bus,Non-Rail,Breitscheidplatz (Berlin) → S+U Zoologischer Garten/Jebensstr. (Berlin),0 days 00:01:58.326693227,251,Breitscheidplatz (Berlin),S+U Zoologischer Garten/Jebensstr. (Berlin),1 Min 58 Sec,Bus
100,Bus,Non-Rail,Großer Stern (Berlin) → Nordische Botschaften/Adenauer-Stiftung (Berlin),0 days 00:02:41.593625498,502,Großer Stern (Berlin),Nordische Botschaften/Adenauer-Stiftung (Berlin),2 Min 41 Sec,Bus
100,Bus,Non-Rail,Großer Stern (Berlin) → Schloss Bellevue (Berlin),0 days 00:00:56.481113320,503,Großer Stern (Berlin),Schloss Bellevue (Berlin),0 Min 56 Sec,Bus
100,Bus,Non-Rail,Haus der Kulturen der Welt (Berlin) → Platz der Republik (Berlin),0 days 00:00:57.852882703,503,Haus der Kulturen der Welt (Berlin),Platz der Republik (Berlin),0 Min 57 Sec,Bus
100,Bus,Non-Rail,Haus der Kulturen der Welt (Berlin) → Schloss Bellevue (Berlin),0 days 00:01:47.569721115,502,Haus der Kulturen der Welt (Berlin),Schloss Bellevue (Berlin),1 Min 47 Sec,Bus
100,Bus,Non-Rail,Hertzallee (Berlin) → S+U Zoologischer Garten Bhf (Berlin),0 days 00:01:00.954274353,503,Hertzallee (Berlin),S+U Zoologischer Garten Bhf (Berlin),1 Min 0 Sec,Bus
100,Bus,Non-Rail,Lützowplatz (Berlin) → Nordische Botschaften/Adenauer-Stiftung (Berlin),0 days 00:01:13.240556660,503,Lützowplatz (Berlin),Nordische Botschaften/Adenauer-Stiftung (Berlin),1 Min 13 Sec,Bus
100,Bus,Non-Rail,Lützowplatz (Berlin) → Schillstr. (Berlin),0 days 00:01:29.163346613,502,Lützowplatz (Berlin),Schillstr. (Berlin),1 Min 29 Sec,Bus
100,Bus,Non-Rail,Nordische Botschaften/Adenauer-Stiftung (Berlin) → Großer Stern (Berlin),0 days 00:02:05.844930417,503,Nordische Botschaften/Adenauer-Stiftung (Berlin),Großer Stern (Berlin),2 Min 5 Sec,Bus
100,Bus,Non-Rail,Nordische Botschaften/Adenauer-Stiftung (Berlin) → Lützowplatz (Berlin),0 days 00:01:31.314741035,502,Nordische Botschaften/Adenauer-Stiftung (Berlin),Lützowplatz (Berlin),1 Min 31 Sec,Bus
100,Bus,Non-Rail,Platz der Republik (Berlin) → Haus der Kulturen der Welt (Berlin),0 days 00:01:08.366533864,502,Platz der Republik (Berlin),Haus der Kulturen der Welt (Berlin),1 Min 8 Sec,Bus
100,Bus,Non-Rail,Platz der Republik (Berlin) → Reichstag/Bundestag (Berlin),0 days 00:01:19.562624254,503,Platz der Republik (Berlin),Reichstag/Bundestag (Berlin),1 Min 19 Sec,Bus
100,Bus,Non-Rail,Reichstag/Bundestag (Berlin) → Platz der Republik (Berlin),0 days 00:01:00,502,Reichstag/Bundestag (Berlin),Platz der Republik (Berlin),1 Min 0 Sec,Bus
100,Bus,Non-Rail,Reichstag/Bundestag (Berlin) → S+U Brandenburger Tor (Berlin),0 days 00:03:07.157057654,503,Reichstag/Bundestag (Berlin),S+U Brandenburger Tor (Berlin),3 Min 7 Sec,Bus
100,Bus,Non-Rail,S+U Alexanderplatz Bhf/Memhardstr. (Berlin) → Memhardstr. (Berlin),0 days 00:01:30.875000,480,S+U Alexanderplatz Bhf/Memhardstr. (Berlin),Memhardstr. (Berlin),1 Min 30 Sec,Bus
100,Bus,Non-Rail,S+U Alexanderplatz Bhf/Memhardstr. (Berlin) → Spandauer Str./Marienkirche (Berlin),0 days 00:01:50.677290836,502,S+U Alexanderplatz Bhf/Memhardstr. (Berlin),Spandauer Str./Marienkirche (Berlin),1 Min 50 Sec,Bus
100,Bus,Non-Rail,S+U Brandenburger Tor (Berlin) → Reichstag/Bundestag (Berlin),0 days 00:02:49.003984063,502,S+U Brandenburger Tor (Berlin),Reichstag/Bundestag (Berlin),2 Min 49 Sec,Bus
100,Bus,Non-Rail,S+U Brandenburger Tor (Berlin) → U Unter den Linden (Berlin),0 days 00:02:00,503,S+U Brandenburger Tor (Berlin),U Unter den Linden (Berlin),2 Min 0 Sec,Bus
100,Bus,Non-Rail,S+U Zoologischer Garten Bhf (Berlin) → Breitscheidplatz (Berlin),0 days 00:04:00.954274353,503,S+U Zoologischer Garten Bhf (Berlin),Breitscheidplatz (Berlin),4 Min 0 Sec,Bus
100,Bus,Non-Rail,Schillstr. (Berlin) → Bayreuther Str. (Berlin),0 days 00:01:00,502,Schillstr. (Berlin),Bayreuther Str. (Berlin),1 Min 0 Sec,Bus
100,Bus,Non-Rail,Schillstr. (Berlin) → Lützowplatz (Berlin),0 days 00:01:00,503,Schillstr. (Berlin),Lützowplatz (Berlin),1 Min 0 Sec,Bus
100,Bus,Non-Rail,Schloss Bellevue (Berlin) → Großer Stern (Berlin),0 days 00:01:02.868525896,502,Schloss Bellevue (Berlin),Großer Stern (Berlin),1 Min 2 Sec,Bus
100,Bus,Non-Rail,Schloss Bellevue (Berlin) → Haus der Kulturen der Welt (Berlin),0 days 00:01:21.053677932,503,Schloss Bellevue (Berlin),Haus der Kulturen der Welt (Berlin),1 Min 21 Sec,Bus
100,Bus,Non-Rail,Spandauer Str./Marienkirche (Berlin) → S+U Alexanderplatz Bhf/Memhardstr. (Berlin),0 days 00:01:53.558648111,503,Spandauer Str./Marienkirche (Berlin),S+U Alexanderplatz Bhf/Memhardstr. (Berlin),1 Min 53 Sec,Bus
100,Bus,Non-Rail,Spandauer Str./Marienkirche (Berlin) → U Museumsinsel (Berlin),0 days 00:01:56.892430278,502,Spandauer Str./Marienkirche (Berlin),U Museumsinsel (Berlin),1 Min 56 Sec,Bus
100,Bus,Non-Rail,Staatsoper (Berlin) → U Museumsinsel (Berlin),0 days 00:00:56.660039761,503,Staatsoper (Berlin),U Museumsinsel (Berlin),0 Min 56 Sec,Bus
100,Bus,Non-Rail,Staatsoper (Berlin) → U Unter den Linden (Berlin),0 days 00:02:07.649402390,502,Staatsoper (Berlin),U Unter den Linden (Berlin),2 Min 7 Sec,Bus
100,Bus,Non-Rail,U Museumsinsel (Berlin) → Spandauer Str./Marienkirche (Berlin),0 days 00:01:31.610337972,503,U Museumsinsel (Berlin),Spandauer Str./Marienkirche (Berlin),1 Min 31 Sec,Bus
