route_short_name,prev_stop_name,stop_name,avg_travel_time,trip_count,avg_time_readable
EC,Basel SBB,Zürich HB,0 days 01:27:00,2,87 Min 0 Sec
EC,Bregenz,Lindau-Reutin,0 days 00:08:21.176470588,17,8 Min 21 Sec
EC,Bregenz,St. Margrethen SG,0 days 00:11:00,16,11 Min 0 Sec
EC,Decin hl.n.,Usti nad Labem hl.n.,0 days 00:14:00,2,14 Min 0 Sec
EC,Dobova,Dobova(Gr),0 days 00:23:00,1,23 Min 0 Sec
EC,Dobova(Gr),Zapresic,0 days 00:10:00,1,10 Min 0 Sec
EC,Jesenice(Gr),Jesenice(SLO),0 days 00:10:00,1,10 Min 0 Sec
EC,Jesenice(SLO),Lesce-Bled,0 days 00:16:00,1,16 Min 0 Sec
EC,Kranj,Ljubljana,0 days 00:28:00,1,28 Min 0 Sec
EC,Lesce-Bled,Kranj,0 days 00:26:00,1,26 Min 0 Sec
EC,Lindau-Reutin,Bregenz,0 days 00:06:03.750000,16,6 Min 3 Sec
EC,Ljubljana,Zidani Most,0 days 01:00:00,1,60 Min 0 Sec
EC,Praha hl.n.,Praha-Holesovice,0 days 00:08:00,5,8 Min 0 Sec
EC,Praha-Holesovice,Praha hl.n.,0 days 00:10:00,2,10 Min 0 Sec
EC,Praha-Holesovice,Usti nad Labem hl.n.,0 days 01:05:00,5,65 Min 0 Sec
EC,Sevnica,Dobova,0 days 00:35:00,1,35 Min 0 Sec
EC,St. Gallen(CH),St. Margrethen SG,0 days 00:19:10,18,19 Min 10 Sec
EC,St. Gallen(CH),Winterthur,0 days 00:33:00,19,33 Min 0 Sec
EC,St. Margrethen SG,Bregenz,0 days 00:08:49.411764705,17,8 Min 49 Sec
EC,St. Margrethen SG,St. Gallen(CH),0 days 00:18:00,19,18 Min 0 Sec
EC,Usti nad Labem hl.n.,Decin hl.n.,0 days 00:14:36,5,14 Min 36 Sec
EC,Usti nad Labem hl.n.,Praha-Holesovice,0 days 01:04:00,2,64 Min 0 Sec
EC,Winterthur,St. Gallen(CH),0 days 00:33:00,18,33 Min 0 Sec
EC,Winterthur,Zürich Flughafen,0 days 00:16:00,19,16 Min 0 Sec
EC,Zapresic,Zagreb Glavni kolodvor,0 days 00:13:00,1,13 Min 0 Sec
EC,Zidani Most,Sevnica,0 days 00:19:00,1,19 Min 0 Sec
EC,Zürich Flughafen,Winterthur,0 days 00:16:00,17,16 Min 0 Sec
EC,Zürich Flughafen,Zürich HB,0 days 00:11:00,19,11 Min 0 Sec
EC,Zürich HB,Basel SBB,0 days 00:55:00,1,55 Min 0 Sec
EC,Zürich HB,Winterthur,0 days 00:22:00,1,22 Min 0 Sec
EC,Zürich HB,Zürich Flughafen,0 days 00:09:00,17,9 Min 0 Sec
EC 62,Bad Gastein,Bad Hofgastein,0 days 00:11:00,1,11 Min 0 Sec
EC 62,Bad Gastein,Mallnitz-Obervellach,0 days 00:15:00,2,15 Min 0 Sec
EC 62,Bad Gastein,Schwarzach-St.Veit,0 days 00:25:00,1,25 Min 0 Sec
EC 62,Bad Hofgastein,Dorfgastein,0 days 00:07:00,1,7 Min 0 Sec
EC 62,Bischofshofen,Golling-Abtenau,0 days 00:24:00,4,24 Min 0 Sec
EC 62,Bischofshofen,St. Johann im Pongau,0 days 00:09:00,4,9 Min 0 Sec
EC 62,Dorfgastein,Schwarzach-St.Veit,0 days 00:13:00,1,13 Min 0 Sec
EC 62,Freilassing,Salzburg Hbf,0 days 00:09:00,4,9 Min 0 Sec
EC 62,Freilassing,Traunstein,0 days 00:18:00,4,18 Min 0 Sec
EC 62,Golling-Abtenau,Bischofshofen,0 days 00:21:00,4,21 Min 0 Sec
EC 62,Golling-Abtenau,Salzburg Hbf,0 days 00:20:00,4,20 Min 0 Sec
EC 62,Klagenfurt Hbf,Pörtschach am Wörther See,0 days 00:08:00,1,8 Min 0 Sec
EC 62,Mallnitz-Obervellach,Bad Gastein,0 days 00:15:00,2,15 Min 0 Sec
